seed,method,epoch_1_accuracy,epoch_2_accuracy,epoch_3_accuracy,seconds
11,SGD,0.897,0.9101,0.9197,2.6757302284240723
11,diag-Fisher,0.8568,0.9145,0.7861,1.4839708805084229
22,SGD,0.8971,0.9113,0.9195,1.2724189758300781
22,diag-Fisher,0.872,0.8834,0.8894,1.7685019969940186
33,SGD,0.8963,0.9135,0.9202,1.256133794784546
33,diag-Fisher,0.729,0.906,0.9143,1.4514422416687012
44,SGD,0.8969,0.9122,0.9198,1.26088285446167
44,diag-Fisher,0.7566,0.8874,0.9314,1.799407958984375
55,SGD,0.8961,0.9123,0.9171,1.239332914352417
55,diag-Fisher,0.8416,0.9193,0.9192,1.4056060314178467
